@relation 'R_data_frame-weka.filters.unsupervised.attribute.Remove-R4,6-8,10,12,14'

@attribute team_a {'1. FC Kaiserslautern','1. FC Koln','1. FC Nurnberg','1. FSV Mainz 05','1860 Munchen','1899 Hoffenheim','Alemannia Aachen','Bayer 04 Leverkusen','Borussia Dortmund','Borussia Monchengladbach','DSC Arminia Bielefeld','Eintracht Frankfurt','FC Augsburg','FC Bayern Munchen','FC Energie Cottbus','FC Schalke 04','FC St. Pauli','Hamburger SV','Hannover 96','Hansa Rostock','Hertha BSC Berlin','Karlsruher SC','MSV Duisburg','SC Freiburg','SpVgg Unterhaching','SV Werder Bremen','VfB Stuttgart','VfL Bochum','VfL Wolfsburg'}
@attribute team_b {'1. FC Kaiserslautern','1. FC Koln','1. FC Nurnberg','1. FSV Mainz 05','1860 Munchen','1899 Hoffenheim','Alemannia Aachen','Bayer 04 Leverkusen','Borussia Dortmund','Borussia Monchengladbach','DSC Arminia Bielefeld','Eintracht Frankfurt','FC Augsburg','FC Bayern Munchen','FC Energie Cottbus','FC Schalke 04','FC St. Pauli','Hamburger SV','Hannover 96','Hansa Rostock','Hertha BSC Berlin','Karlsruher SC','MSV Duisburg','SC Freiburg','SpVgg Unterhaching','SV Werder Bremen','VfB Stuttgart','VfL Bochum','VfL Wolfsburg'}
@attribute spieltag numeric
@attribute saison_weight numeric
@attribute sun_a {S,U,N}
@attribute place_a numeric
@attribute place_b numeric
@attribute wins_pro_a numeric
@attribute points_pro_a numeric
@attribute wins_pro_b numeric
@attribute points_pro_b numeric
@attribute hg_01 numeric

@data
'VfB Stuttgart','SV Werder Bremen',27,5,S,5,3,0.5,0.568627,0.529412,0.578431,2
'Bayer 04 Leverkusen','DSC Arminia Bielefeld',27,5,N,6,13,0.470588,0.558824,0.323529,0.392157,2
'Hannover 96','1. FC Kaiserslautern',27,5,S,10,12,0.382353,0.441176,0.352941,0.411765,2
'Hertha BSC Berlin','Borussia Dortmund',27,5,N,4,7,0.441176,0.568627,0.441176,0.539216,2
'VfL Bochum','Borussia Monchengladbach',27,5,U,16,15,0.264706,0.343137,0.235294,0.352941,2
'Hamburger SV','SV Werder Bremen',28,5,N,8,3,0.470588,0.5,0.529412,0.578431,1
'Hertha BSC Berlin','SC Freiburg',28,5,S,4,18,0.441176,0.568627,0.088235,0.176471,1
'VfB Stuttgart','FC Schalke 04',28,5,S,5,2,0.5,0.568627,0.588235,0.617647,1
'VfL Bochum','Hannover 96',28,5,S,16,10,0.264706,0.343137,0.382353,0.441176,1
'Bayer 04 Leverkusen','Borussia Dortmund',28,5,N,6,7,0.470588,0.558824,0.441176,0.539216,1
'FC Bayern Munchen','Borussia Monchengladbach',28,5,S,1,15,0.705882,0.754902,0.235294,0.352941,1
'1. FSV Mainz 05','VfL Wolfsburg',28,5,N,11,9,0.352941,0.421569,0.441176,0.470588,1
'1. FC Nurnberg','Hansa Rostock',28,5,S,14,17,0.294118,0.372549,0.205882,0.294118,1
'DSC Arminia Bielefeld','1. FC Kaiserslautern',28,5,N,13,12,0.323529,0.392157,0.352941,0.411765,1
'SV Werder Bremen','Hamburger SV',28,5,S,3,8,0.529412,0.578431,0.470588,0.5,2
'SC Freiburg','Hertha BSC Berlin',28,5,N,18,4,0.088235,0.176471,0.441176,0.568627,2
'FC Schalke 04','VfB Stuttgart',28,5,N,2,5,0.588235,0.617647,0.5,0.568627,2
'Hannover 96','VfL Bochum',28,5,N,10,16,0.382353,0.441176,0.264706,0.343137,2
'Borussia Dortmund','Bayer 04 Leverkusen',28,5,S,7,6,0.441176,0.539216,0.470588,0.558824,2
'Borussia Monchengladbach','FC Bayern Munchen',28,5,N,15,1,0.235294,0.352941,0.705882,0.754902,2
'VfL Wolfsburg','1. FSV Mainz 05',28,5,S,9,11,0.441176,0.470588,0.352941,0.421569,2
'Hansa Rostock','1. FC Nurnberg',28,5,N,17,14,0.205882,0.294118,0.294118,0.372549,2
'1. FC Kaiserslautern','DSC Arminia Bielefeld',28,5,S,12,13,0.352941,0.411765,0.323529,0.392157,2
'Borussia Dortmund','DSC Arminia Bielefeld',29,5,U,7,13,0.441176,0.539216,0.323529,0.392157,1
'FC Schalke 04','Hamburger SV',29,5,N,2,8,0.588235,0.617647,0.470588,0.5,1
'SV Werder Bremen','Hertha BSC Berlin',29,5,N,3,4,0.529412,0.578431,0.441176,0.568627,1
'Hansa Rostock','VfB Stuttgart',29,5,S,17,5,0.205882,0.294118,0.5,0.568627,1
'SC Freiburg','Bayer 04 Leverkusen',29,5,N,18,6,0.088235,0.176471,0.470588,0.558824,1
'Hannover 96','FC Bayern Munchen',29,5,N,10,1,0.382353,0.441176,0.705882,0.754902,1
'Borussia Monchengladbach','1. FSV Mainz 05',29,5,U,15,11,0.235294,0.352941,0.352941,0.421569,1
'VfL Wolfsburg','1. FC Nurnberg',29,5,N,9,14,0.441176,0.470588,0.294118,0.372549,1
'1. FC Kaiserslautern','VfL Bochum',29,5,N,12,16,0.352941,0.411765,0.264706,0.343137,1
'DSC Arminia Bielefeld','Borussia Dortmund',29,5,U,13,7,0.323529,0.392157,0.441176,0.539216,2
'Hamburger SV','FC Schalke 04',29,5,S,8,2,0.470588,0.5,0.588235,0.617647,2
'Hertha BSC Berlin','SV Werder Bremen',29,5,S,4,3,0.441176,0.568627,0.529412,0.578431,2
'VfB Stuttgart','Hansa Rostock',29,5,N,5,17,0.5,0.568627,0.205882,0.294118,2
'Bayer 04 Leverkusen','SC Freiburg',29,5,S,6,18,0.470588,0.558824,0.088235,0.176471,2
'FC Bayern Munchen','Hannover 96',29,5,S,1,10,0.705882,0.754902,0.382353,0.441176,2
'1. FSV Mainz 05','Borussia Monchengladbach',29,5,U,11,15,0.352941,0.421569,0.235294,0.352941,2
'1. FC Nurnberg','VfL Wolfsburg',29,5,S,14,9,0.294118,0.372549,0.441176,0.470588,2
'VfL Bochum','1. FC Kaiserslautern',29,5,S,16,12,0.264706,0.343137,0.352941,0.411765,2
'FC Bayern Munchen','VfL Bochum',30,5,S,1,16,0.705882,0.754902,0.264706,0.343137,1
'DSC Arminia Bielefeld','SC Freiburg',30,5,S,13,18,0.323529,0.392157,0.088235,0.176471,1
'Hertha BSC Berlin','FC Schalke 04',30,5,S,4,2,0.441176,0.568627,0.588235,0.617647,1
'Hamburger SV','Hansa Rostock',30,5,S,8,17,0.470588,0.5,0.205882,0.294118,1
'Borussia Dortmund','1. FC Kaiserslautern',30,5,S,7,12,0.441176,0.539216,0.352941,0.411765,1
'VfB Stuttgart','VfL Wolfsburg',30,5,U,5,9,0.5,0.568627,0.441176,0.470588,1
'1. FSV Mainz 05','Hannover 96',30,5,S,11,10,0.352941,0.421569,0.382353,0.441176,1
'Bayer 04 Leverkusen','SV Werder Bremen',30,5,S,6,3,0.470588,0.558824,0.529412,0.578431,1
'1. FC Nurnberg','Borussia Monchengladbach',30,5,U,14,15,0.294118,0.372549,0.235294,0.352941,1
'VfL Bochum','FC Bayern Munchen',30,5,N,16,1,0.264706,0.343137,0.705882,0.754902,2
'SC Freiburg','DSC Arminia Bielefeld',30,5,N,18,13,0.088235,0.176471,0.323529,0.392157,2
'FC Schalke 04','Hertha BSC Berlin',30,5,N,2,4,0.588235,0.617647,0.441176,0.568627,2
'Hansa Rostock','Hamburger SV',30,5,N,17,8,0.205882,0.294118,0.470588,0.5,2
'1. FC Kaiserslautern','Borussia Dortmund',30,5,N,12,7,0.352941,0.411765,0.441176,0.539216,2
'VfL Wolfsburg','VfB Stuttgart',30,5,U,9,5,0.441176,0.470588,0.5,0.568627,2
'Hannover 96','1. FSV Mainz 05',30,5,N,10,11,0.382353,0.441176,0.352941,0.421569,2
'SV Werder Bremen','Bayer 04 Leverkusen',30,5,N,3,6,0.529412,0.578431,0.470588,0.558824,2
'Borussia Monchengladbach','1. FC Nurnberg',30,5,U,15,14,0.235294,0.352941,0.294118,0.372549,2
'1. FC Kaiserslautern','FC Bayern Munchen',31,5,N,12,1,0.352941,0.411765,0.705882,0.754902,1
'VfL Bochum','1. FSV Mainz 05',31,5,N,16,11,0.264706,0.343137,0.352941,0.421569,1
'SV Werder Bremen','DSC Arminia Bielefeld',31,5,S,3,13,0.529412,0.578431,0.323529,0.392157,1
'Borussia Monchengladbach','VfB Stuttgart',31,5,S,15,5,0.235294,0.352941,0.5,0.568627,1
'Hansa Rostock','Hertha BSC Berlin',31,5,S,17,4,0.205882,0.294118,0.441176,0.568627,1
'SC Freiburg','Borussia Dortmund',31,5,U,18,7,0.088235,0.176471,0.441176,0.539216,1
'FC Schalke 04','Bayer 04 Leverkusen',31,5,U,2,6,0.588235,0.617647,0.470588,0.558824,1
'VfL Wolfsburg','Hamburger SV',31,5,S,9,8,0.441176,0.470588,0.470588,0.5,1
'Hannover 96','1. FC Nurnberg',31,5,S,10,14,0.382353,0.441176,0.294118,0.372549,1
'FC Bayern Munchen','1. FC Kaiserslautern',31,5,S,1,12,0.705882,0.754902,0.352941,0.411765,2
'1. FSV Mainz 05','VfL Bochum',31,5,S,11,16,0.352941,0.421569,0.264706,0.343137,2
'DSC Arminia Bielefeld','SV Werder Bremen',31,5,N,13,3,0.323529,0.392157,0.529412,0.578431,2
'VfB Stuttgart','Borussia Monchengladbach',31,5,N,5,15,0.5,0.568627,0.235294,0.352941,2
'Hertha BSC Berlin','Hansa Rostock',31,5,N,4,17,0.441176,0.568627,0.205882,0.294118,2
'Borussia Dortmund','SC Freiburg',31,5,U,7,18,0.441176,0.539216,0.088235,0.176471,2
'Bayer 04 Leverkusen','FC Schalke 04',31,5,U,6,2,0.470588,0.558824,0.588235,0.617647,2
'Hamburger SV','VfL Wolfsburg',31,5,N,8,9,0.470588,0.5,0.441176,0.470588,2
'1. FC Nurnberg','Hannover 96',31,5,N,14,10,0.294118,0.372549,0.382353,0.441176,2
'Hertha BSC Berlin','VfL Wolfsburg',32,5,S,4,9,0.441176,0.568627,0.441176,0.470588,1
'SC Freiburg','1. FC Kaiserslautern',32,5,N,18,12,0.088235,0.176471,0.352941,0.411765,1
'1. FSV Mainz 05','FC Bayern Munchen',32,5,N,11,1,0.352941,0.421569,0.705882,0.754902,1
'1. FC Nurnberg','VfL Bochum',32,5,S,14,16,0.294118,0.372549,0.264706,0.343137,1
'Bayer 04 Leverkusen','Hansa Rostock',32,5,S,6,17,0.470588,0.558824,0.205882,0.294118,1
'DSC Arminia Bielefeld','FC Schalke 04',32,5,N,13,2,0.323529,0.392157,0.588235,0.617647,1
'VfB Stuttgart','Hannover 96',32,5,S,5,10,0.5,0.568627,0.382353,0.441176,1
'Hamburger SV','Borussia Monchengladbach',32,5,U,8,15,0.470588,0.5,0.235294,0.352941,1
'Borussia Dortmund','SV Werder Bremen',32,5,S,7,3,0.441176,0.539216,0.529412,0.578431,1
'VfL Wolfsburg','Hertha BSC Berlin',32,5,N,9,4,0.441176,0.470588,0.441176,0.568627,2
'1. FC Kaiserslautern','SC Freiburg',32,5,S,12,18,0.352941,0.411765,0.088235,0.176471,2
'FC Bayern Munchen','1. FSV Mainz 05',32,5,S,1,11,0.705882,0.754902,0.352941,0.421569,2
'VfL Bochum','1. FC Nurnberg',32,5,N,16,14,0.264706,0.343137,0.294118,0.372549,2
'Hansa Rostock','Bayer 04 Leverkusen',32,5,N,17,6,0.205882,0.294118,0.470588,0.558824,2
'FC Schalke 04','DSC Arminia Bielefeld',32,5,S,2,13,0.588235,0.617647,0.323529,0.392157,2
'Hannover 96','VfB Stuttgart',32,5,N,10,5,0.382353,0.441176,0.5,0.568627,2
'Borussia Monchengladbach','Hamburger SV',32,5,U,15,8,0.235294,0.352941,0.470588,0.5,2
'SV Werder Bremen','Borussia Dortmund',32,5,N,3,7,0.529412,0.578431,0.441176,0.539216,2
'Hansa Rostock','DSC Arminia Bielefeld',33,5,U,17,13,0.205882,0.294118,0.323529,0.392157,1
'SV Werder Bremen','SC Freiburg',33,5,S,3,18,0.529412,0.578431,0.088235,0.176471,1
'Borussia Monchengladbach','Hertha BSC Berlin',33,5,U,15,4,0.235294,0.352941,0.441176,0.568627,1
'1. FSV Mainz 05','1. FC Kaiserslautern',33,5,S,11,12,0.352941,0.421569,0.352941,0.411765,1
'VfL Bochum','VfB Stuttgart',33,5,S,16,5,0.264706,0.343137,0.5,0.568627,1
'FC Schalke 04','Borussia Dortmund',33,5,N,2,7,0.588235,0.617647,0.441176,0.539216,1
'Hannover 96','Hamburger SV',33,5,S,10,8,0.382353,0.441176,0.470588,0.5,1
'FC Bayern Munchen','1. FC Nurnberg',33,5,S,1,14,0.705882,0.754902,0.294118,0.372549,1
'VfL Wolfsburg','Bayer 04 Leverkusen',33,5,U,9,6,0.441176,0.470588,0.470588,0.558824,1
'DSC Arminia Bielefeld','Hansa Rostock',33,5,U,13,17,0.323529,0.392157,0.205882,0.294118,2
'SC Freiburg','SV Werder Bremen',33,5,N,18,3,0.088235,0.176471,0.529412,0.578431,2
'Hertha BSC Berlin','Borussia Monchengladbach',33,5,U,4,15,0.441176,0.568627,0.235294,0.352941,2
'1. FC Kaiserslautern','1. FSV Mainz 05',33,5,N,12,11,0.352941,0.411765,0.352941,0.421569,2
'VfB Stuttgart','VfL Bochum',33,5,N,5,16,0.5,0.568627,0.264706,0.343137,2
'Borussia Dortmund','FC Schalke 04',33,5,S,7,2,0.441176,0.539216,0.588235,0.617647,2
'Hamburger SV','Hannover 96',33,5,N,8,10,0.470588,0.5,0.382353,0.441176,2
'1. FC Nurnberg','FC Bayern Munchen',33,5,N,14,1,0.294118,0.372549,0.705882,0.754902,2
'Bayer 04 Leverkusen','VfL Wolfsburg',33,5,U,6,9,0.470588,0.558824,0.441176,0.470588,2
'Hamburger SV','VfL Bochum',34,5,N,8,16,0.470588,0.5,0.264706,0.343137,1
'1. FC Nurnberg','1. FSV Mainz 05',34,5,N,14,11,0.294118,0.372549,0.352941,0.421569,1
'SC Freiburg','FC Schalke 04',34,5,N,18,2,0.088235,0.176471,0.588235,0.617647,1
'Bayer 04 Leverkusen','Borussia Monchengladbach',34,5,S,6,15,0.470588,0.558824,0.235294,0.352941,1
'VfB Stuttgart','FC Bayern Munchen',34,5,N,5,1,0.5,0.568627,0.705882,0.754902,1
'Hertha BSC Berlin','Hannover 96',34,5,U,4,10,0.441176,0.568627,0.382353,0.441176,1
'Borussia Dortmund','Hansa Rostock',34,5,S,7,17,0.441176,0.539216,0.205882,0.294118,1
'DSC Arminia Bielefeld','VfL Wolfsburg',34,5,N,13,9,0.323529,0.392157,0.441176,0.470588,1
'1. FC Kaiserslautern','SV Werder Bremen',34,5,N,12,3,0.352941,0.411765,0.529412,0.578431,1
'VfL Bochum','Hamburger SV',34,5,S,16,8,0.264706,0.343137,0.470588,0.5,2
'1. FSV Mainz 05','1. FC Nurnberg',34,5,S,11,14,0.352941,0.421569,0.294118,0.372549,2
'FC Schalke 04','SC Freiburg',34,5,S,2,18,0.588235,0.617647,0.088235,0.176471,2
'Borussia Monchengladbach','Bayer 04 Leverkusen',34,5,N,15,6,0.235294,0.352941,0.470588,0.558824,2
'FC Bayern Munchen','VfB Stuttgart',34,5,S,1,5,0.705882,0.754902,0.5,0.568627,2
'Hannover 96','Hertha BSC Berlin',34,5,U,10,4,0.382353,0.441176,0.441176,0.568627,2
'Hansa Rostock','Borussia Dortmund',34,5,N,17,7,0.205882,0.294118,0.441176,0.539216,2
'VfL Wolfsburg','DSC Arminia Bielefeld',34,5,S,9,13,0.441176,0.470588,0.323529,0.392157,2
'SV Werder Bremen','1. FC Kaiserslautern',34,5,S,3,12,0.529412,0.578431,0.352941,0.411765,2
'FC Bayern Munchen','Borussia Monchengladbach',1,6,S,1,10,0.647059,0.735294,0.294118,0.411765,1
'Hannover 96','Hertha BSC Berlin',1,6,U,12,6,0.205882,0.372549,0.352941,0.470588,1
'VfL Wolfsburg','Borussia Dortmund',1,6,U,15,7,0.205882,0.333333,0.323529,0.45098,1
'Hamburger SV','1. FC Nurnberg',1,6,S,3,8,0.617647,0.666667,0.352941,0.431373,1
'1. FC Koln','1. FSV Mainz 05',1,6,S,17,11,0.205882,0.294118,0.264706,0.372549,1
'SV Werder Bremen','DSC Arminia Bielefeld',1,6,S,2,13,0.617647,0.686275,0.294118,0.362745,1
'MSV Duisburg','VfB Stuttgart',1,6,U,18,9,0.147059,0.264706,0.264706,0.421569,1
'FC Schalke 04','1. FC Kaiserslautern',1,6,S,4,16,0.470588,0.598039,0.235294,0.323529,1
'Eintracht Frankfurt','Bayer 04 Leverkusen',1,6,N,14,5,0.264706,0.352941,0.411765,0.509804,1
'Borussia Monchengladbach','FC Bayern Munchen',1,6,N,10,1,0.294118,0.411765,0.647059,0.735294,2
'Hertha BSC Berlin','Hannover 96',1,6,U,6,12,0.352941,0.470588,0.205882,0.372549,2
'Borussia Dortmund','VfL Wolfsburg',1,6,U,7,15,0.323529,0.45098,0.205882,0.333333,2
'1. FC Nurnberg','Hamburger SV',1,6,N,8,3,0.352941,0.431373,0.617647,0.666667,2
'1. FSV Mainz 05','1. FC Koln',1,6,N,11,17,0.264706,0.372549,0.205882,0.294118,2
'DSC Arminia Bielefeld','SV Werder Bremen',1,6,N,13,2,0.294118,0.362745,0.617647,0.686275,2
'VfB Stuttgart','MSV Duisburg',1,6,U,9,18,0.264706,0.421569,0.147059,0.264706,2
'1. FC Kaiserslautern','FC Schalke 04',1,6,N,16,4,0.235294,0.323529,0.470588,0.598039,2
'Bayer 04 Leverkusen','Eintracht Frankfurt',1,6,S,5,14,0.411765,0.509804,0.264706,0.352941,2
'Borussia Monchengladbach','VfL Wolfsburg',2,6,U,10,15,0.294118,0.411765,0.205882,0.333333,1
'DSC Arminia Bielefeld','Hamburger SV',2,6,N,13,3,0.294118,0.362745,0.617647,0.666667,1
'1. FC Nurnberg','Hannover 96',2,6,U,8,12,0.352941,0.431373,0.205882,0.372549,1
'Bayer 04 Leverkusen','FC Bayern Munchen',2,6,N,5,1,0.411765,0.509804,0.647059,0.735294,1
'Borussia Dortmund','FC Schalke 04',2,6,N,7,4,0.323529,0.45098,0.470588,0.598039,1
'Hertha BSC Berlin','Eintracht Frankfurt',2,6,S,6,14,0.352941,0.470588,0.264706,0.352941,1
'1. FC Kaiserslautern','MSV Duisburg',2,6,S,16,18,0.235294,0.323529,0.147059,0.264706,1
'VfB Stuttgart','1. FC Koln',2,6,N,9,17,0.264706,0.421569,0.205882,0.294118,1
'1. FSV Mainz 05','SV Werder Bremen',2,6,N,11,2,0.264706,0.372549,0.617647,0.686275,1
'VfL Wolfsburg','Borussia Monchengladbach',2,6,U,15,10,0.205882,0.333333,0.294118,0.411765,2
'Hamburger SV','DSC Arminia Bielefeld',2,6,S,3,13,0.617647,0.666667,0.294118,0.362745,2
'Hannover 96','1. FC Nurnberg',2,6,U,12,8,0.205882,0.372549,0.352941,0.431373,2
'FC Bayern Munchen','Bayer 04 Leverkusen',2,6,S,1,5,0.647059,0.735294,0.411765,0.509804,2
'FC Schalke 04','Borussia Dortmund',2,6,S,4,7,0.470588,0.598039,0.323529,0.45098,2
'Eintracht Frankfurt','Hertha BSC Berlin',2,6,N,14,6,0.264706,0.352941,0.352941,0.470588,2
'MSV Duisburg','1. FC Kaiserslautern',2,6,N,18,16,0.147059,0.264706,0.235294,0.323529,2
'1. FC Koln','VfB Stuttgart',2,6,S,17,9,0.205882,0.294118,0.264706,0.421569,2
'SV Werder Bremen','1. FSV Mainz 05',2,6,S,2,11,0.617647,0.686275,0.264706,0.372549,2
'Hamburger SV','Hannover 96',3,6,U,3,12,0.617647,0.666667,0.205882,0.372549,1
'1. FC Koln','1. FC Kaiserslautern',3,6,N,17,16,0.205882,0.294118,0.235294,0.323529,1
'FC Bayern Munchen','Hertha BSC Berlin',3,6,S,1,6,0.647059,0.735294,0.352941,0.470588,1
'VfL Wolfsburg','Bayer 04 Leverkusen',3,6,S,15,5,0.205882,0.333333,0.411765,0.509804,1
'FC Schalke 04','Borussia Monchengladbach',3,6,U,4,10,0.470588,0.598039,0.294118,0.411765,1
'SV Werder Bremen','VfB Stuttgart',3,6,U,2,9,0.617647,0.686275,0.264706,0.421569,1
'Eintracht Frankfurt','1. FC Nurnberg',3,6,S,14,8,0.264706,0.352941,0.352941,0.431373,1
'MSV Duisburg','Borussia Dortmund',3,6,U,18,7,0.147059,0.264706,0.323529,0.45098,1
'DSC Arminia Bielefeld','1. FSV Mainz 05',3,6,S,13,11,0.294118,0.362745,0.264706,0.372549,1
'Hannover 96','Hamburger SV',3,6,U,12,3,0.205882,0.372549,0.617647,0.666667,2
'1. FC Kaiserslautern','1. FC Koln',3,6,S,16,17,0.235294,0.323529,0.205882,0.294118,2
'Hertha BSC Berlin','FC Bayern Munchen',3,6,N,6,1,0.352941,0.470588,0.647059,0.735294,2
'Bayer 04 Leverkusen','VfL Wolfsburg',3,6,N,5,15,0.411765,0.509804,0.205882,0.333333,2
'Borussia Monchengladbach','FC Schalke 04',3,6,U,10,4,0.294118,0.411765,0.470588,0.598039,2
'VfB Stuttgart','SV Werder Bremen',3,6,U,9,2,0.264706,0.421569,0.617647,0.686275,2
'1. FC Nurnberg','Eintracht Frankfurt',3,6,N,8,14,0.352941,0.431373,0.264706,0.352941,2
'Borussia Dortmund','MSV Duisburg',3,6,U,7,18,0.323529,0.45098,0.147059,0.264706,2
'1. FSV Mainz 05','DSC Arminia Bielefeld',3,6,N,11,13,0.264706,0.372549,0.294118,0.362745,2
'1. FC Kaiserslautern','SV Werder Bremen',4,6,N,16,2,0.235294,0.323529,0.617647,0.686275,1
'1. FC Nurnberg','FC Bayern Munchen',4,6,N,8,1,0.352941,0.431373,0.647059,0.735294,1
'Bayer 04 Leverkusen','FC Schalke 04',4,6,U,5,4,0.411765,0.509804,0.470588,0.598039,1
'Hannover 96','Eintracht Frankfurt',4,6,S,12,14,0.205882,0.372549,0.264706,0.352941,1
'VfB Stuttgart','DSC Arminia Bielefeld',4,6,U,9,13,0.264706,0.421569,0.294118,0.362745,1
'Borussia Monchengladbach','MSV Duisburg',4,6,S,10,18,0.294118,0.411765,0.147059,0.264706,1
'1. FSV Mainz 05','Hamburger SV',4,6,N,11,3,0.264706,0.372549,0.617647,0.666667,1
'Borussia Dortmund','1. FC Koln',4,6,S,7,17,0.323529,0.45098,0.205882,0.294118,1
'Hertha BSC Berlin','VfL Wolfsburg',4,6,S,6,15,0.352941,0.470588,0.205882,0.333333,1
'SV Werder Bremen','1. FC Kaiserslautern',4,6,S,2,16,0.617647,0.686275,0.235294,0.323529,2
'FC Bayern Munchen','1. FC Nurnberg',4,6,S,1,8,0.647059,0.735294,0.352941,0.431373,2
'FC Schalke 04','Bayer 04 Leverkusen',4,6,U,4,5,0.470588,0.598039,0.411765,0.509804,2
'Eintracht Frankfurt','Hannover 96',4,6,N,14,12,0.264706,0.352941,0.205882,0.372549,2
'DSC Arminia Bielefeld','VfB Stuttgart',4,6,U,13,9,0.294118,0.362745,0.264706,0.421569,2
'MSV Duisburg','Borussia Monchengladbach',4,6,N,18,10,0.147059,0.264706,0.294118,0.411765,2
'Hamburger SV','1. FSV Mainz 05',4,6,S,3,11,0.617647,0.666667,0.264706,0.372549,2
'1. FC Koln','Borussia Dortmund',4,6,N,17,7,0.205882,0.294118,0.323529,0.45098,2
'VfL Wolfsburg','Hertha BSC Berlin',4,6,N,15,6,0.205882,0.333333,0.352941,0.470588,2
'1. FC Koln','Borussia Monchengladbach',5,6,S,17,10,0.205882,0.294118,0.294118,0.411765,1
'1. FSV Mainz 05','VfB Stuttgart',5,6,N,11,9,0.264706,0.372549,0.264706,0.421569,1
'VfL Wolfsburg','1. FC Nurnberg',5,6,U,15,8,0.205882,0.333333,0.352941,0.431373,1
'Hamburger SV','Eintracht Frankfurt',5,6,U,3,14,0.617647,0.666667,0.264706,0.352941,1
'FC Bayern Munchen','Hannover 96',5,6,S,1,12,0.647059,0.735294,0.205882,0.372549,1
'DSC Arminia Bielefeld','1. FC Kaiserslautern',5,6,U,13,16,0.294118,0.362745,0.235294,0.323529,1
'SV Werder Bremen','Borussia Dortmund',5,6,S,2,7,0.617647,0.686275,0.323529,0.45098,1
'MSV Duisburg','Bayer 04 Leverkusen',5,6,N,18,5,0.147059,0.264706,0.411765,0.509804,1
'FC Schalke 04','Hertha BSC Berlin',5,6,U,4,6,0.470588,0.598039,0.352941,0.470588,1
'Borussia Monchengladbach','1. FC Koln',5,6,N,10,17,0.294118,0.411765,0.205882,0.294118,2
'VfB Stuttgart','1. FSV Mainz 05',5,6,S,9,11,0.264706,0.421569,0.264706,0.372549,2
'1. FC Nurnberg','VfL Wolfsburg',5,6,U,8,15,0.352941,0.431373,0.205882,0.333333,2
'Eintracht Frankfurt','Hamburger SV',5,6,U,14,3,0.264706,0.352941,0.617647,0.666667,2
'Hannover 96','FC Bayern Munchen',5,6,N,12,1,0.205882,0.372549,0.647059,0.735294,2
'1. FC Kaiserslautern','DSC Arminia Bielefeld',5,6,U,16,13,0.235294,0.323529,0.294118,0.362745,2
'Borussia Dortmund','SV Werder Bremen',5,6,N,7,2,0.323529,0.45098,0.617647,0.686275,2
'Bayer 04 Leverkusen','MSV Duisburg',5,6,S,5,18,0.411765,0.509804,0.147059,0.264706,2
'Hertha BSC Berlin','FC Schalke 04',5,6,U,6,4,0.352941,0.470588,0.470588,0.598039,2
'Eintracht Frankfurt','FC Bayern Munchen',6,6,N,14,1,0.264706,0.352941,0.647059,0.735294,1
'Borussia Monchengladbach','SV Werder Bremen',6,6,S,10,2,0.294118,0.411765,0.617647,0.686275,1
'Hannover 96','VfL Wolfsburg',6,6,N,12,15,0.205882,0.372549,0.205882,0.333333,1
'Borussia Dortmund','DSC Arminia Bielefeld',6,6,S,7,13,0.323529,0.45098,0.294118,0.362745,1
'Bayer 04 Leverkusen','1. FC Koln',6,6,S,5,17,0.411765,0.509804,0.205882,0.294118,1
'VfB Stuttgart','Hamburger SV',6,6,N,9,3,0.264706,0.421569,0.617647,0.666667,1
'1. FC Nurnberg','FC Schalke 04',6,6,U,8,4,0.352941,0.431373,0.470588,0.598039,1
'1. FC Kaiserslautern','1. FSV Mainz 05',6,6,N,16,11,0.235294,0.323529,0.264706,0.372549,1
'Hertha BSC Berlin','MSV Duisburg',6,6,S,6,18,0.352941,0.470588,0.147059,0.264706,1
'FC Bayern Munchen','Eintracht Frankfurt',6,6,S,1,14,0.647059,0.735294,0.264706,0.352941,2
'SV Werder Bremen','Borussia Monchengladbach',6,6,N,2,10,0.617647,0.686275,0.294118,0.411765,2
'VfL Wolfsburg','Hannover 96',6,6,S,15,12,0.205882,0.333333,0.205882,0.372549,2
'DSC Arminia Bielefeld','Borussia Dortmund',6,6,N,13,7,0.294118,0.362745,0.323529,0.45098,2
'1. FC Koln','Bayer 04 Leverkusen',6,6,N,17,5,0.205882,0.294118,0.411765,0.509804,2
'Hamburger SV','VfB Stuttgart',6,6,S,3,9,0.617647,0.666667,0.264706,0.421569,2
'FC Schalke 04','1. FC Nurnberg',6,6,U,4,8,0.470588,0.598039,0.352941,0.431373,2
'1. FSV Mainz 05','1. FC Kaiserslautern',6,6,S,11,16,0.264706,0.372549,0.235294,0.323529,2
'MSV Duisburg','Hertha BSC Berlin',6,6,N,18,6,0.147059,0.264706,0.352941,0.470588,2
'FC Schalke 04','Hannover 96',7,6,S,4,12,0.470588,0.598039,0.205882,0.372549,1
'MSV Duisburg','1. FC Nurnberg',7,6,S,18,8,0.147059,0.264706,0.352941,0.431373,1
'DSC Arminia Bielefeld','Borussia Monchengladbach',7,6,N,13,10,0.294118,0.362745,0.294118,0.411765,1
'1. FSV Mainz 05','Borussia Dortmund',7,6,U,11,7,0.264706,0.372549,0.323529,0.45098,1
'Hamburger SV','FC Bayern Munchen',7,6,S,3,1,0.617647,0.666667,0.647059,0.735294,1
